Date,Price
2022-03-10,0.12267299999999999
2022-03-11,0.11995249999999999
2022-03-12,0.11776600000000001
2022-03-13,0.116735
2022-03-14,0.11759900000000001
2022-03-15,0.11659
2022-03-16,0.11556050000000001
2022-03-17,0.117809
2022-03-18,0.1190425
2022-03-19,0.121974
2022-03-20,0.124246
2022-03-21,0.1226255
2022-03-22,0.12334099999999999
2022-03-23,0.12803150000000002
2022-03-24,0.13565900000000003
2022-03-25,0.13894
2022-03-26,0.136885
2022-03-27,0.14067649999999998
2022-03-28,0.14879749999999997
2022-03-29,0.150648
2022-03-30,0.14677800000000002
2022-03-31,0.14610850000000003
2022-04-01,0.14480700000000002
2022-04-02,0.1432315
2022-04-03,0.14631349999999999
2022-04-04,0.151935
2022-04-05,0.1666785
2022-04-06,0.175771
2022-04-07,0.1607625
2022-04-08,0.150372
2022-04-09,0.148589
2022-04-10,0.150717
2022-04-11,0.154132
2022-04-12,0.147707
2022-04-13,0.143365
2022-04-14,0.14462049999999999
2022-04-15,0.14795999999999998
2022-04-16,0.148549
2022-04-17,0.14626
2022-04-18,0.14258500000000002
2022-04-19,0.142301
2022-04-20,0.14519100000000001
2022-04-21,0.1443445
2022-04-22,0.140178
2022-04-23,0.1372015
2022-04-24,0.1355925
2022-04-25,0.1512125
2022-04-26,0.1665065
2022-04-27,0.15534150000000002
2022-04-28,0.14401150000000001
2022-04-29,0.1436305
2022-04-30,0.1405855
2022-05-01,0.1356745
2022-05-02,0.13430199999999998
2022-05-03,0.13280799999999998
2022-05-04,0.133821
2022-05-05,0.136561
2022-05-06,0.133309
2022-05-07,0.13061250000000002
2022-05-08,0.12996850000000001
2022-05-09,0.1265765
2022-05-10,0.1214555
2022-05-11,0.11417000000000001
2022-05-12,0.09979650000000001
2022-05-13,0.091641
2022-05-14,0.092926
2022-05-15,0.0922205
2022-05-16,0.092952
2022-05-17,0.0920865
2022-05-18,0.0909545
2022-05-19,0.0889605
2022-05-20,0.087437
2022-05-21,0.08643
2022-05-22,0.08579500000000001
2022-05-23,0.08729500000000001
2022-05-24,0.0862135
2022-05-25,0.0843275
2022-05-26,0.08396899999999999
2022-05-27,0.084492
2022-05-28,0.084216
2022-05-29,0.083041
2022-05-30,0.0856545
2022-05-31,0.0882525
2022-06-01,0.0884385
2022-06-02,0.08582700000000001
2022-06-03,0.082932
2022-06-04,0.082597
2022-06-05,0.08223749999999999
2022-06-06,0.0833485
2022-06-07,0.0835445
2022-06-08,0.08197499999999999
2022-06-09,0.08115900000000001
2022-06-10,0.0802095
2022-06-11,0.07796
2022-06-12,0.07337199999999999
2022-06-13,0.0680235
2022-06-14,0.061928
2022-06-15,0.060813
2022-06-16,0.06322449999999999
2022-06-17,0.060444
2022-06-18,0.057832999999999996
2022-06-19,0.0601135
2022-06-20,0.0618145
2022-06-21,0.0652405
2022-06-22,0.0675375
2022-06-23,0.06518299999999999
2022-06-24,0.06638849999999999
2022-06-25,0.068637
2022-06-26,0.07303899999999999
2022-06-27,0.0776775
2022-06-28,0.07567
2022-06-29,0.072143
